inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
5,200.479802,-0.542132,0.00209907354474385974,436714133,2016-03-08,57456,57455,HD132914S012151M01,14,133,GALAXY,Non,0.1729900000,200.4798015000,-0.5421323000,,,,
13,163.864576,-0.471311,0.0334640409162489175,437512122,2016-03-10,57458,57457,HD104840S015732M01,12,122,QSO,Non,1.3552900000,163.8645700000,-0.4713039000,,,,
13,163.864576,-0.471311,0.0334640409162489175,438210217,2016-03-11,57459,57458,HD110103N000249M01,10,217,QSO,Non,1.3569200000,163.8645700000,-0.4713039000,,,,
15,161.612067,0.658037,0.00230506537321138174,202401115,2014-01-01,56659,56658,HD104509N022916B01,1,115,STAR,F5,-0.0001007364,161.6120674000,0.6580365000,6203.18,4.354,-0.472,-30.20
16,235.439295,52.479638,0.00185264458579827368,426707245,2016-02-19,57438,57437,HD153557N543750B02,7,245,GALAXY,Non,0.0375946000,235.4392948000,52.4796375000,,,,
20,149.613470,0.382479,0.000804980871484154868,290609174,2015-01-02,57025,57024,HD095639S002741B01,9,174,GALAXY,Non,0.0567826000,149.6134699000,0.3824788000,,,,
33,123.960757,45.654079,0.0714525858647995366,401608217,2016-01-06,57394,57393,HD081205N465629M01,8,217,Unknown,Non,-9999.0000000000,123.9607290000,45.6540823000,,,,
34,162.099818,-0.884227,0.00209895891982236947,437515023,2016-03-10,57458,57457,HD104840S015732M01,15,23,GALAXY,Non,0.2252590000,162.0998175000,-0.8842267000,,,,
40,187.951794,0.171168,0.00101823147969695152,231511178,2014-04-01,56749,56748,HD123204S014620M01,11,178,Unknown,Non,-9999.0000000000,187.9517942000,0.1711678000,,,,
43,40.272927,0.606064,0.192008142479203364,21105021,2011-12-25,55921,55920,F5592102,5,21,GALAXY,Non,0.2179890000,40.2729800000,0.6060700000,,,,
44,220.337675,-0.759540,0.00160994062235652637,441416106,2016-03-19,57467,57466,HD144346S023019B02,16,106,GALAXY,Non,0.0800546000,220.3376748000,-0.7595396000,,,,
48,147.779292,0.226291,0.0433495912822158339,41909028,2012-02-16,55974,55973,F5597403,9,28,GALAXY,Non,0.0742071000,147.7793000000,0.2263000000,,,,
51,184.314453,0.162491,0.00152734749618167092,200606143,2013-12-29,56656,56655,HD120800N003716M01,6,143,STAR,M2,0.0000410300,184.3144527000,0.1624913000,,,,
55,184.030619,-2.238254,0.145590257076963187,219815024,2014-03-02,56719,56718,HD121616S031407M,15,24,GALAXY,Non,0.1004650000,184.0306500000,-2.2382800000,,,,
92,202.027358,0.069326,0.000804984069208443138,212815213,2014-01-27,56685,56684,HD132914S012151B01,15,213,GALAXY,Non,0.0830295000,202.0273582000,0.0693261000,,,,
101,152.640765,-0.186119,0.00129799375975190451,319616082,2015-02-16,57070,57069,HD101607S013552M01,16,82,GALAXY,Non,0.1483040000,152.6407653000,-0.1861188000,,,,
101,152.640765,-0.186119,0.054119582714612792,7809023,2011-11-24,55890,55889,F9008,9,23,GALAXY,Non,0.1481260000,152.6407800000,-0.1861200000,,,,
105,169.103576,-1.343378,0.237429448314194574,418101232,2016-01-31,57419,57418,KP111915N004324B01,1,232,STAR,F6,0.0007359700,169.1035120000,-1.3433940000,,,,
115,235.677531,0.585050,0.0139094674649678594,133716200,2013-03-09,56361,56360,HD154852S010004M01,16,200,STAR,A6V,-0.0004014200,235.6775272000,0.5850507000,,,,
115,235.677531,0.585050,0.0139094674649678594,51610175,2012-05-17,56065,56064,F5606503,10,175,STAR,A7III,-0.0003965400,235.6775272000,0.5850507000,,,,
